epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54268,3.06206,3.46255,3.45249,0.00311,0.93333,0.02837,0.00775,3.43768,4.7721,4.89689,2e-05,2e-05,2e-05
2,4.21416,3.2859,3.5605,3.73689,0.00333,1,0.03614,0.00762,3.47519,4.69419,4.91431,5.8812e-05,5.8812e-05,5.8812e-05
3,5.04022,3.28851,3.71135,3.58202,0.00333,1,0.10628,0.02733,3.36359,4.74599,4.68859,9.604e-05,9.604e-05,9.604e-05
4,5.96066,3.03214,3.66075,3.52187,0.00311,0.93333,0.04762,0.01234,3.28071,4.47332,4.44175,0.000131684,0.000131684,0.000131684
5,6.84917,3.08211,3.52639,3.3414,0.00311,0.93333,0.09237,0.01761,3.25589,4.47866,4.27316,0.000165744,0.000165744,0.000165744
6,7.83436,2.83589,3.28146,3.09151,0.00311,0.93333,0.21693,0.04365,2.73785,3.919,3.80971,0.00019822,0.00019822,0.00019822
7,8.96708,2.45594,3.22608,2.78185,0.00333,1,0.21465,0.04696,2.63387,3.96088,3.5185,0.000229112,0.000229112,0.000229112
8,10.0862,2.50383,3.38597,2.77836,0.00333,1,0.21095,0.06784,2.73088,3.9323,3.67148,0.00025842,0.00025842,0.00025842
9,11.0193,2.11256,3.20659,2.42484,0.00333,1,0.2921,0.08122,2.81986,3.82368,4.17789,0.000286144,0.000286144,0.000286144
10,12.1346,2.15819,2.98454,2.42062,0.00333,1,0.26111,0.06284,2.75393,3.89109,4.1925,0.000312284,0.000312284,0.000312284
11,13.1163,1.99172,2.95902,2.37351,0.00333,1,0.21761,0.06311,2.25454,3.73752,3.38049,0.00033684,0.00033684,0.00033684
12,14.0625,1.86503,3.02015,2.13306,0.00333,1,0.19852,0.07065,2.51864,3.72452,3.28445,0.000359812,0.000359812,0.000359812
13,15.0196,2.02665,2.83887,2.23519,0.00333,1,0.36068,0.15464,2.27069,3.58619,2.98631,0.0003812,0.0003812,0.0003812
14,16.0075,1.8578,2.78025,2.13059,0.00333,1,0.35404,0.15494,2.19221,3.59909,3.09379,0.000401004,0.000401004,0.000401004
15,16.9178,1.69792,2.53645,1.94168,0.00333,1,0.15297,0.0609,2.39507,3.75081,3.47336,0.000419224,0.000419224,0.000419224
16,17.8677,1.84026,2.77455,2.14756,0.00333,1,0.23181,0.10853,2.24343,3.55209,3.20462,0.00043586,0.00043586,0.00043586
17,18.9627,1.88375,2.72745,2.16117,0.00333,1,0.19332,0.10326,2.44872,3.7016,3.33633,0.000450912,0.000450912,0.000450912
18,20.0565,1.80079,2.45943,2.022,0.00333,1,0.16893,0.08489,2.53659,3.78161,3.60734,0.00046438,0.00046438,0.00046438
19,21.3558,1.69887,2.41895,1.91222,0.00333,1,0.17114,0.07321,3.00488,3.99204,4.49956,0.000476264,0.000476264,0.000476264
20,22.5139,1.6912,2.32314,1.93732,0.00311,0.93333,0.35609,0.19786,2.58139,3.60315,3.99378,0.000486564,0.000486564,0.000486564
21,23.5311,1.74267,2.21221,1.96466,0.13546,0.66667,0.4679,0.27712,2.25844,3.37808,3.41466,0.00049528,0.00049528,0.00049528
22,24.4776,1.68262,2.22223,1.92811,0.09363,0.93333,0.51224,0.23531,2.45021,3.3464,3.60526,0.000502412,0.000502412,0.000502412
23,25.407,1.8809,2.39517,2.17325,0.70991,0.2,0.42567,0.15315,2.68801,3.41425,3.81408,0.00050796,0.00050796,0.00050796
24,26.3268,1.57453,2.10602,1.81974,0.29227,0.35874,0.41301,0.1605,2.79113,3.59709,3.9066,0.000511924,0.000511924,0.000511924
25,27.2542,1.69561,2.07979,1.88558,0.75051,0.2,0.26845,0.08462,3.65056,4.33859,5.38404,0.000514304,0.000514304,0.000514304
26,28.1529,1.77449,2.34322,2.05136,0.10381,0.36327,0.13657,0.02399,4.25882,5.62301,5.49984,0.0005151,0.0005151,0.0005151
27,29.0597,1.70798,2.12197,1.93061,0.3303,0.26667,0.20176,0.05643,3.74386,4.60543,5.09895,0.000514312,0.000514312,0.000514312
28,30.1651,1.57397,2.06922,1.88506,0.43038,0.3537,0.40415,0.11899,3.15673,4.01168,4.40784,0.00051194,0.00051194,0.00051194
29,31.1008,1.7546,2.0475,1.85815,0.53917,0.39078,0.34841,0.14541,3.05875,3.88946,4.18506,0.000507984,0.000507984,0.000507984
30,32.1965,1.43182,1.93277,1.71743,0.56743,0.33333,0.45344,0.20049,2.91982,3.53966,3.98121,0.000502444,0.000502444,0.000502444
31,33.1999,1.6068,2.07036,1.87736,0.66026,0.33333,0.48106,0.17411,3.2892,3.6176,4.46986,0.00049532,0.00049532,0.00049532
32,34.154,1.56284,1.93418,1.8128,0.40602,0.26667,0.35272,0.09234,3.5592,3.82409,5.131,0.000486612,0.000486612,0.000486612
33,35.0526,1.49853,1.83615,1.69155,0.39577,0.46667,0.3316,0.06765,3.61443,4.04917,5.31202,0.00047632,0.00047632,0.00047632
34,35.9297,1.49702,1.90636,1.71412,0.39439,0.5215,0.37277,0.11351,3.57256,4.08225,5.22698,0.000464444,0.000464444,0.000464444
35,36.8452,1.45089,1.84896,1.68376,0.41957,0.38635,0.35657,0.08897,3.69151,4.48133,5.49858,0.000450984,0.000450984,0.000450984
