epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.23505,0.78887,5.39663,1.10284,0.26981,0.07472,0.04736,0.03945,0.75534,4.64503,1.03642,6.666e-05,6.666e-05,6.666e-05
2,6.36867,0.66195,3.70689,1.00746,0.66423,0.89026,0.84069,0.7185,0.6064,1.82238,0.85701,0.000143,0.000143,0.000143
3,9.49968,0.59913,1.5961,0.94056,0.9741,0.9557,0.99404,0.87065,0.56049,1.17382,0.86166,0.0002178,0.0002178,0.0002178
4,12.4221,0.57441,1.02986,0.93966,0.93168,0.95833,0.97058,0.85246,0.553,1.24636,0.92651,0.000291061,0.000291061,0.000291061
5,15.2449,0.57732,0.75261,0.94543,0.93585,0.97154,0.9926,0.8661,0.57022,0.88616,0.95424,0.000362781,0.000362781,0.000362781
6,18.2248,0.56418,0.64816,0.93791,0.9553,0.9878,0.995,0.87116,0.57194,0.71525,0.95885,0.000432962,0.000432962,0.000432962
7,20.9544,0.57194,0.56517,0.93383,0.99176,0.99803,0.995,0.85703,0.58553,0.43487,0.97811,0.000501603,0.000501603,0.000501603
8,23.6458,0.58762,0.51753,0.94655,0.92479,0.91276,0.95385,0.82178,0.5411,0.62781,0.94171,0.000568704,0.000568704,0.000568704
9,26.3525,0.58059,0.50475,0.92708,0.93927,0.9937,0.99142,0.84355,0.62081,0.59657,1.03384,0.000634265,0.000634265,0.000634265
10,29.0677,0.54976,0.47342,0.94151,0.97231,0.99637,0.995,0.87301,0.55278,0.52421,0.95281,0.000698287,0.000698287,0.000698287
11,31.7357,0.54938,0.44816,0.94913,0.98884,1,0.995,0.86336,0.57987,0.42463,0.97978,0.000760768,0.000760768,0.000760768
12,34.2956,0.56914,0.41718,0.95513,0.97988,0.99167,0.99468,0.8716,0.57928,0.40081,1.00601,0.00082171,0.00082171,0.00082171
